-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.13%        5.188s        99.49%      242.080s      242.080s       0.000us         0.00%       18.908s       18.908s             1  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        79.94%      194.505s        82.74%      201.325s     548.569ms       0.000us         0.00%       0.000us       0.000us           367  
                                        cudaMemcpyAsync         9.44%       22.976s         9.44%       22.976s       8.878ms       0.000us         0.00%       0.000us       0.000us          2588  
                                             aten::item         0.01%      20.745ms         9.31%       22.645s       3.884ms       0.000us         0.00%     736.000us       0.126us          5831  
                              aten::_local_scalar_dense         0.01%      15.178ms         9.30%       22.624s       3.880ms     736.000us         0.00%     736.000us       0.126us          5831  
                                           aten::conv2d         0.05%     116.985ms         1.44%        3.494s     159.091us       0.000us         0.00%        7.626s     347.265us         21960  
                                      aten::convolution         0.07%     171.290ms         1.39%        3.377s     153.764us       0.000us         0.00%        7.626s     347.265us         21960  
                                            aten::copy_         1.04%        2.538s         1.34%        3.262s      78.815us        6.965s        20.23%        6.965s     168.281us         41392  
                                     aten::_convolution         0.08%     190.245ms         1.32%        3.205s     145.964us       0.000us         0.00%        7.626s     347.265us         21960  
                                aten::cudnn_convolution         1.00%        2.440s         1.23%        3.003s     136.733us        6.872s        19.96%        6.872s     312.948us         21960  
                                               aten::to         0.03%      64.562ms         0.93%        2.259s      58.230us       0.000us         0.00%     189.759ms       4.891us         38796  
                                       cudaLaunchKernel         0.92%        2.226s         0.92%        2.226s       7.671us       0.000us         0.00%       0.000us       0.000us        290252  
                                         aten::_to_copy         0.05%     110.272ms         0.90%        2.195s     221.804us       0.000us         0.00%     189.759ms      19.179us          9894  
                               aten::upsample_nearest2d         0.76%        1.838s         0.76%        1.848s     721.213us     161.490ms         0.47%     161.490ms      63.033us          2562  
                                           aten::linear         0.06%     149.081ms         0.74%        1.794s     102.138us       0.000us         0.00%        4.255s     242.204us         17568  
                                            aten::clone         0.09%     224.899ms         0.73%        1.787s      56.768us       0.000us         0.00%        6.776s     215.261us         31476  
                                       aten::batch_norm         0.04%      99.421ms         0.69%        1.668s      77.232us       0.000us         0.00%     439.492ms      20.353us         21594  
                                       aten::contiguous         0.03%      81.236ms         0.67%        1.633s      57.197us       0.000us         0.00%        3.733s     130.778us         28548  
                           aten::_batch_norm_impl_index         0.05%     112.602ms         0.64%        1.568s      72.628us       0.000us         0.00%     439.492ms      20.353us         21594  
                                 aten::cudnn_batch_norm         0.28%     676.088ms         0.60%        1.456s      67.413us     439.492ms         1.28%     439.492ms      20.353us         21594  
