-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              optimstep         0.01%     471.000us        32.43%        2.402s     240.205ms       0.000us         0.00%      60.893ms       6.089ms            10  
                               Optimizer.step#Adam.step         1.53%     112.992ms        32.42%        2.401s     240.150ms       0.000us         0.00%      60.893ms       6.089ms            10  
                                       cudaLaunchKernel        30.52%        2.260s        30.52%        2.260s      83.606us       0.000us         0.00%       0.000us       0.000us         27037  
                                             segforward         1.55%     114.998ms        26.60%        1.970s     196.998ms       0.000us         0.00%        1.174s     117.383ms            10  
                                           aten::conv2d         0.03%       1.996ms        16.59%        1.229s       2.082ms       0.000us         0.00%     685.578ms       1.162ms           590  
                                      aten::convolution         0.09%       6.353ms        16.56%        1.227s       2.079ms       0.000us         0.00%     685.578ms       1.162ms           590  
                                     aten::_convolution         0.06%       4.453ms        16.48%        1.220s       2.068ms       0.000us         0.00%     685.578ms       1.162ms           590  
                                aten::cudnn_convolution        15.96%        1.182s        16.42%        1.216s       2.061ms     685.578ms        21.24%     685.578ms       1.162ms           590  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        13.93%        1.032s        13.93%        1.032s     103.178ms       0.000us         0.00%       0.000us       0.000us            10  
                                               lossback         8.92%     660.649ms         8.93%     661.056ms      66.106ms       0.000us         0.00%      20.000us       2.000us            10  
                                         aten::addcmul_         0.23%      17.035ms         8.39%     621.259ms     350.994us       7.703ms         0.24%       7.703ms       4.352us          1770  
                                             aten::add_         0.86%      63.493ms         8.16%     604.568ms      92.968us      43.985ms         1.36%      43.985ms       6.764us          6503  
                                          cudaHostAlloc         8.09%     599.513ms         8.09%     599.513ms       8.564ms       0.000us         0.00%       0.000us       0.000us            70  
autograd::engine::evaluate_function: ConvolutionBack...         0.13%       9.392ms         6.66%     493.557ms     836.537us       0.000us         0.00%        1.521s       2.579ms           590  
                                   ConvolutionBackward0         0.03%       2.320ms         6.48%     480.070ms     813.678us       0.000us         0.00%        1.515s       2.567ms           590  
                             aten::convolution_backward         5.90%     437.342ms         6.45%     477.750ms     809.746us        1.515s        46.93%        1.515s       2.567ms           590  
                                              aten::div         0.63%      46.840ms         6.23%     461.494ms     242.892us       7.569ms         0.23%       7.569ms       3.984us          1900  
                                           aten::linear         0.05%       3.428ms         4.26%     315.684ms     657.675us       0.000us         0.00%     117.843ms     245.506us           480  
                                           aten::matmul         0.07%       5.239ms         4.04%     299.365ms     598.730us       0.000us         0.00%     143.636ms     287.272us           500  
                                             aten::sqrt         0.45%      33.518ms         3.98%     294.831ms     166.571us       6.285ms         0.19%       6.285ms       3.551us          1770  
